16,76
0,3,41
0,5,100
0,10,15
0,1,10
1,13,92
1,7,3
1,3,74
1,12,52
1,2,13
2,14,53
2,1,4
2,11,74
2,0,4
2,12,33
2,3,15
3,13,34
3,8,11
3,5,13
3,4,22
4,6,46
4,15,30
4,8,65
4,5,24
5,0,54
5,13,21
5,11,28
5,6,31
6,0,25
6,13,64
6,2,93
6,5,27
6,9,1
6,7,33
7,6,70
7,11,87
7,2,22
7,8,34
8,12,23
8,0,75
8,1,84
8,7,38
8,11,72
8,9,39
9,8,91
9,12,6
9,4,49
9,10,46
10,14,72
10,4,90
10,2,50
10,6,11
10,5,15
10,11,52
11,10,45
11,14,38
11,9,51
11,1,49
11,12,61
12,2,72
12,11,59
12,5,22
12,1,60
12,3,64
12,13,78
13,11,12
13,6,28
13,8,63
13,14,83
14,6,69
14,13,75
14,8,11
14,10,72
14,2,2
14,15,96
15,5,62
15,12,17
15,3,100
